campaign_id,date,channel,clicks
CMP01,2026-09-01,search,100
CMP02,2026-09-01,search,100
CMP03,2026-09-01,search,100
CMP04,2026-09-01,search,100
CMP05,2026-09-01,search,100
CMP06,2026-09-01,search,100
CMP07,2026-09-01,search,100
CMP08,2026-09-01,search,100
CMP09,2026-09-01,search,100
CMP10,2026-09-01,search,100
CMP11,2026-09-01,search,100
CMP12,2026-09-01,search,100
CMP13,2026-09-01,search,100
CMP14,2026-09-01,search,100
CMP15,2026-09-01,search,100
CMP16,2026-09-01,search,100
CMP17,2026-09-01,search,100
CMP18,2026-09-01,search,100
CMP01,2026-09-01,search,100
CMP02,2026-09-01,search,100
